Date,CME,ICE,MCO,MSCI,NDAQ,SPGI
2025-02-24,245.40725708007812,167.4972381591797,498.145751953125,569.9365844726562,79.4266128540039,531.2713623046875
2025-02-25,248.44822692871094,170.27197265625,500.0286865234375,580.8573608398438,79.03912353515625,531.4308471679688
2025-02-26,245.64498901367188,170.23219299316406,496.48193359375,575.7894897460938,79.52597045898438,528.2567138671875
2025-02-27,247.48739624023438,169.9039764404297,491.0124206542969,577.6079711914062,80.28109741210938,524.3839111328125
2025-02-28,251.37033081054688,172.28089904785156,502.0610656738281,586.789794921875,82.24836730957031,532.7483520507812
2025-03-03,254.450927734375,172.2510528564453,500.1282958984375,585.0507202148438,81.44357299804688,528.3265991210938
2025-03-04,249.59725952148438,168.91943359375,479.5054626464844,564.0439453125,78.25419616699219,515.8497924804688
2025-03-05,252.0736083984375,170.66978454589844,480.3822021484375,569.380126953125,78.29393768310547,521.9285278320312
2025-03-06,251.63775634765625,168.7205047607422,468.4767761230469,562.71240234375,75.68082427978516,513.254638671875
2025-03-07,253.40966796875,169.3072967529297,459.7892761230469,558.3500366210938,74.18052673339844,496.07659912109375
2025-03-10,261.08453369140625,168.22323608398438,448.6111145019531,541.9043579101562,72.38214111328125,487.48260498046875
2025-03-11,259.2429504394531,167.43759155273438,442.19512939453125,538.3070678710938,71.82573699951172,479.1081848144531
2025-03-12,255.54986572265625,168.09396362304688,440.4715576171875,541.6360473632812,72.51131439208984,477.3714294433594
2025-03-13,258.6556396484375,168.2133026123047,436.16766357421875,538.048828125,71.70651245117188,478.9584655761719
2025-03-14,257.50091552734375,170.12278747558594,445.1739501953125,551.2152709960938,73.03237915039062,485.58612060546875
2025-03-17,262.3785705566406,172.35678100585938,451.8988037109375,562.404296875,74.31837463378906,493.3516540527344
2025-03-18,265.27532958984375,172.37672424316406,448.42181396484375,565.1171264648438,75.06604766845703,489.4789123535156
2025-03-19,264.2599792480469,173.22445678710938,458.59375,566.8163452148438,76.3420639038086,494.2999267578125
2025-03-20,265.3251037597656,175.11935424804688,458.07568359375,562.4241943359375,76.6710433959961,496.2762451171875
2025-03-21,262.149658203125,173.92257690429688,457.77679443359375,559.0158081054688,75.31526947021484,496.9549865722656
2025-03-24,261.74151611328125,174.7802734375,467.4007873535156,563.2191162109375,77.16948699951172,503.00372314453125
2025-03-25,260.8655090332031,175.1592559814453,475.4606018066406,570.9899291992188,77.42868041992188,512.20654296875
2025-03-26,261.52252197265625,175.2888946533203,468.3472595214844,565.8822631835938,77.28911590576172,506.8565368652344
2025-03-27,260.656494140625,175.88729858398438,467.2314453125,562.2056274414062,76.12274932861328,507.69500732421875
2025-03-28,261.0247802734375,174.24171447753906,459.6597595214844,554.9515991210938,74.67725372314453,501.5763854980469
2025-03-31,264.080810546875,172.0376434326172,463.95367431640625,561.937255859375,75.62430572509766,507.1559753417969
2025-04-01,261.0447082519531,171.0303497314453,467.03216552734375,563.7259521484375,75.80374145507812,509.83099365234375
2025-04-02,261.3433532714844,169.983154296875,469.1343078613281,572.3314208984375,78.05672454833984,513.0250244140625
2025-04-03,267.13677978515625,167.11087036132812,440.7405700683594,540.7515869140625,73.56073760986328,488.47076416015625
2025-04-04,253.3001708984375,156.31988525390625,400.9295349121094,504.2430725097656,68.03794860839844,450.6611328125
2025-04-07,251.2196807861328,154.2354736328125,396.5160827636719,503.3686218261719,67.52952575683594,437.4956359863281
2025-04-08,253.86756896972656,151.21359252929688,395.2209167480469,503.77606201171875,66.19369506835938,440.6797180175781
2025-04-09,252.9716796875,156.3896942138672,436.9547119140625,545.8692016601562,71.76632690429688,473.1093444824219
2025-04-10,257.2122802734375,154.77403259277344,421.4527587890625,524.4450073242188,70.08158111572266,456.9095153808594
2025-04-11,260.347900390625,155.4921112060547,426.8326110839844,538.2872314453125,71.30775451660156,464.27581787109375
2025-04-14,262.48809814453125,159.3616943359375,436.0381774902344,547.777099609375,72.55387115478516,470.71380615234375
2025-04-15,261.67181396484375,159.52127075195312,433.42791748046875,553.0635375976562,72.94265747070312,469.83544921875
2025-04-16,260.1985778808594,158.01531982421875,424.10284423828125,539.1417846679688,71.4672622680664,463.1179504394531
2025-04-17,261.3333740234375,158.21478271484375,423.2759094238281,543.4445190429688,71.95573425292969,462.0199890136719
2025-04-21,259.1434020996094,154.6144561767578,411.7590026855469,530.1190185546875,70.44046020507812,448.1557922363281
2025-04-22,264.3495788574219,160.2493133544922,428.2672424316406,535.0874633789062,72.46415710449219,465.5534362792969
2025-04-23,260.2881774902344,160.55848693847656,429.1638488769531,530.0494384765625,73.27163696289062,469.3563537597656
2025-04-24,262.07000732421875,162.54315185546875,437.9410095214844,527.2571411132812,74.50778198242188,480.3658447265625
2025-04-25,265.086181640625,162.79248046875,436.984619140625,531.9871826171875,75.1258544921875,479.1081848144531
2025-04-28,266.6988220214844,163.04180908203125,438.1402893066406,531.5797729492188,74.86666107177734,478.4793701171875
2025-04-29,271.1185607910156,165.88417053222656,445.3333435058594,537.0550537109375,75.70405578613281,490.8463439941406
2025-04-30,275.8170471191406,167.519775390625,451.4305419921875,541.67578125,75.97321319580078,499.1209411621094
2025-05-01,275.846923828125,170.382080078125,450.17523193359375,542.6296997070312,75.90343475341797,498.0030212402344
2025-05-02,279.1717224121094,172.98509216308594,463.0171813964844,552.3182983398438,77.93709564208984,505.6787414550781
2025-05-05,281.2720947265625,173.513671875,462.94744873046875,546.9423217773438,77.94706726074219,504.9600524902344
2025-05-06,281.690185546875,174.72042846679688,461.19403076171875,541.7353515625,77.83740997314453,500.8776550292969
